timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663498782907,663,Put Books,200,OK,Stress_test 1-21,text,true,,403,364,16,16,https://project-three-application-type.azurewebsites.net/api/Books/7,663,0,0
1663498731957,51767,Get books,200,OK,Stress_test 1-20,text,true,,920500,192,15,15,https://project-three-application-type.azurewebsites.net/api/Books,611,0,0
1663498725421,59880,Get books,200,OK,Stress_test 1-17,text,true,,902700,192,15,15,https://project-three-application-type.azurewebsites.net/api/Books,1182,0,0
1663498734889,50957,Get books,200,OK,Stress_test 1-22,text,true,,922240,192,15,15,https://project-three-application-type.azurewebsites.net/api/Books,1086,0,0
1663498738998,46959,Get books,200,OK,Stress_test 1-24,text,true,,909397,192,15,15,https://project-three-application-type.azurewebsites.net/api/Books,6945,0,0
1663498781245,4755,Post Books,200,OK,Stress_test 1-15,text,true,,403,364,15,15,https://project-three-application-type.azurewebsites.net/api/Books,4755,0,3996
1663498785957,583,Post Books,200,OK,Stress_test 1-24,text,true,,403,363,15,15,https://project-three-application-type.azurewebsites.net/api/Books,583,0,0
1663498726073,60564,Get books,200,OK,Stress_test 1-18,text,true,,925382,192,15,15,https://project-three-application-type.azurewebsites.net/api/Books,7150,0,0
1663498783725,2918,Post Books,200,OK,Stress_test 1-20,text,true,,403,364,15,15,https://project-three-application-type.azurewebsites.net/api/Books,2918,0,2275
1663498786001,683,Delete Books,200,OK,Stress_test 1-15,text,true,,4109,194,15,15,https://project-three-application-type.azurewebsites.net/api/Books/1,682,0,0
1663498782107,4580,Delete Books,200,OK,Stress_test 1-14,text,true,,4946,194,15,15,https://project-three-application-type.azurewebsites.net/api/Books/5,4580,0,0
1663498786541,634,Delete Books,200,OK,Stress_test 1-24,text,true,,4162,194,15,15,https://project-three-application-type.azurewebsites.net/api/Books/5,634,0,0
1663498786643,537,Delete Books,200,OK,Stress_test 1-20,text,true,,3986,194,15,15,https://project-three-application-type.azurewebsites.net/api/Books/1,536,0,0
1663498786684,556,Get Books by ID,200,OK,Stress_test 1-15,text,true,,6036,194,15,15,https://project-three-application-type.azurewebsites.net/api/Books/1,556,0,0
1663498785302,2401,Post Books,200,OK,Stress_test 1-17,text,true,,403,363,15,15,https://project-three-application-type.azurewebsites.net/api/Books,2401,0,1875
1663498786687,1071,Get Books by ID,200,OK,Stress_test 1-14,text,true,,5822,194,15,15,https://project-three-application-type.azurewebsites.net/api/Books/5,549,0,0
1663498787241,527,Put Books,200,OK,Stress_test 1-15,text,true,,403,365,15,15,https://project-three-application-type.azurewebsites.net/api/Books/1,527,0,0
1663498787175,610,Get Books by ID,200,OK,Stress_test 1-24,text,true,,6050,194,14,14,https://project-three-application-type.azurewebsites.net/api/Books/5,600,0,0
1663498787180,617,Get Books by ID,200,OK,Stress_test 1-20,text,true,,4822,194,14,14,https://project-three-application-type.azurewebsites.net/api/Books/1,614,0,0
1663498737644,50211,Get books,200,OK,Stress_test 1-19,text,true,,904619,192,14,14,https://project-three-application-type.azurewebsites.net/api/Books,748,0,0
1663498785846,2107,Post Books,200,OK,Stress_test 1-22,text,true,,403,363,14,14,https://project-three-application-type.azurewebsites.net/api/Books,2107,0,1722
1663498743972,43995,Get books,200,OK,Stress_test 1-27,text,true,,907571,192,14,14,https://project-three-application-type.azurewebsites.net/api/Books,548,0,0
1663498787759,318,Put Books,200,OK,Stress_test 1-14,text,true,,403,364,14,14,https://project-three-application-type.azurewebsites.net/api/Books/5,318,0,0
1663498787704,393,Delete Books,200,OK,Stress_test 1-17,text,true,,4186,194,13,13,https://project-three-application-type.azurewebsites.net/api/Books/3,393,0,0
1663498787785,325,Put Books,200,OK,Stress_test 1-24,text,true,,403,364,13,13,https://project-three-application-type.azurewebsites.net/api/Books/5,325,0,0
1663498787797,314,Put Books,200,OK,Stress_test 1-20,text,true,,403,365,13,13,https://project-three-application-type.azurewebsites.net/api/Books/1,314,0,0
1663498787968,278,Post Books,200,OK,Stress_test 1-27,text,true,,403,363,11,11,https://project-three-application-type.azurewebsites.net/api/Books,278,0,0
